state,year,quarter,price
AL,1975,1,75.09
AL,1975,2,72.29
AL,1975,3,74.6
AL,1975,4,71.76
AL,1976,1,77.17
AL,1976,2,74.26
AL,1976,3,77.35
AL,1976,4,79.73
AL,1977,1,81.28
AL,1977,2,83.59
AL,1977,3,88.25
AL,1977,4,89.28
AL,1978,1,88.6
AL,1978,2,88.61
AL,1978,3,96.77
AL,1978,4,96.37
AL,1979,1,99.5
AL,1979,2,100.24
AL,1979,3,101.68
AL,1979,4,107.96
AL,1980,1,100
AL,1980,2,103.11
AL,1980,3,110,,,,
AL,1980,4,108.98,,,,
AL,1981,1,105.49,,,,
AL,1981,2,109.14,,,,
AL,1981,3,112.44,,,,
AL,1981,4,106.77,,,,
AL,1982,1,109.28,,,,
AL,1982,2,107.15,,,,
AL,1982,3,107.75,,,,
AL,1982,4,115.61,,,,
AL,1983,1,114.71,,,,
AL,1983,2,114.55,,,,
AL,1983,3,116.92,,,,
AL,1983,4,113.76,,,,
AL,1984,1,123.64,,,,
AL,1984,2,120.28,,,,
AL,1984,3,124.84,,,,
AL,1984,4,121.38,,,,
AL,1985,1,121.53,,,,
AL,1985,2,124.72,,,,
AL,1985,3,127.5,,,,
AL,1985,4,128.42,,,,
AL,1986,1,129.63,,,,
AL,1986,2,131.99,,,,
AL,1986,3,133.54,,,,
AL,1986,4,136.07,,,,
AL,1987,1,138.19,,,,
AL,1987,2,139.24,,,,
AL,1987,3,139.83,,,,
AL,1987,4,138.47,,,,
AL,1988,1,142.15,,,,
AL,1988,2,143.18,,,,
AL,1988,3,142.83,,,,
AL,1988,4,141.47,,,,
AL,1989,1,141.6,,,,
AL,1989,2,143.51,,,,
AL,1989,3,145.67,,,,
AL,1989,4,146.74,,,,
AL,1990,1,145.62,,,,
AL,1990,2,146.83,,,,
AL,1990,3,147.42,,,,
AL,1990,4,147.58,,,,
AL,1991,1,148.86,,,,
AL,1991,2,151.06,,,,
AL,1991,3,151.9,,,,
AL,1991,4,154.36,,,,
AL,1992,1,155.64,,,,
AL,1992,2,155.8,,,,
AL,1992,3,158.76,,,,
AL,1992,4,160.12,,,,
AL,1993,1,161.19,,,,
AL,1993,2,162.92,,,,
AL,1993,3,165.82,,,,
AL,1993,4,167.29,,,,
AL,1994,1,168.38,,,,
AL,1994,2,170.41,,,,
AL,1994,3,171.14,,,,
AL,1994,4,171.28,,,,
AL,1995,1,172.84,,,,
AL,1995,2,176.3,,,,
AL,1995,3,179.07,,,,
AL,1995,4,180.45,,,,
AL,1996,1,183.61,,,,
AL,1996,2,183.6,,,,
AL,1996,3,183.94,,,,
AL,1996,4,186.1,,,,
AL,1997,1,188.22,,,,
AL,1997,2,189.47,,,,
AL,1997,3,192.38,,,,
AL,1997,4,194.9,,,,
AL,1998,1,198.11,,,,
AL,1998,2,199.62,,,,
AL,1998,3,201.8,,,,
AL,1998,4,204.33,,,,
AL,1999,1,204.99,,,,
AL,1999,2,205.83,,,,
AL,1999,3,206.19,,,,
AL,1999,4,207.79,,,,
AL,2000,1,208.54,,,,
AL,2000,2,210.28,,,,
AL,2000,3,211.92,,,,
AL,2000,4,214.64,,,,
AL,2001,1,220.9,,,,
AL,2001,2,221.82,,,,
AL,2001,3,223.42,,,,
AL,2001,4,225.94,,,,
AL,2002,1,226.32,,,,
AL,2002,2,227.49,,,,
AL,2002,3,230.87,,,,
AL,2002,4,233.57,,,,
AL,2003,1,235.94,,,,
AL,2003,2,238.02,,,,
AL,2003,3,239.63,,,,
AL,2003,4,241.22,,,,
AL,2004,1,243.45,,,,
AL,2004,2,245.01,,,,
AL,2004,3,249.53,,,,
AL,2004,4,253.23,,,,
AL,2005,1,256.61,,,,
AL,2005,2,262.69,,,,
AL,2005,3,268.17,,,,
AL,2005,4,273.65,,,,
AL,2006,1,279.17,,,,
AL,2006,2,283.77,,,,
AL,2006,3,288.34,,,,
AL,2006,4,293.86,,,,
AL,2007,1,295.77,,,,
AL,2007,2,299.93,,,,
AL,2007,3,300.59,,,,
AL,2007,4,302.93,,,,
AL,2008,1,304.87,,,,
AL,2008,2,303.65,,,,
AL,2008,3,301.33,,,,
AL,2008,4,302.93,,,,
AL,2009,1,305.11,,,,
AL,2009,2,301.81,,,,
AL,2009,3,294.6,,,,
AL,2009,4,293.68,,,,
AL,2010,1,289.48,,,,
AL,2010,2,285.22,,,,
AL,2010,3,289.04,,,,
AL,2010,4,286.66,,,,
AL,2011,1,279.15,,,,
AL,2011,2,275.35,,,,
AL,2011,3,277.59,,,,
AL,2011,4,279.67,,,,
AL,2012,1,276.76,,,,
AL,2012,2,274.88,,,,
AL,2012,3,276.84,,,,
AL,2012,4,277.28,,,,
AL,2013,1,274.52,,,,
AL,2013,2,275.18,,,,
AL,2013,3,274.66,,,,
AL,2013,4,273.45,,,,
AL,2014,1,275.35,,,,
AL,2014,2,276.18,,,,
AL,2014,3,279.18,,,,
AL,2014,4,280.42,,,,
AL,2015,1,283.36,,,,
AL,2015,2,284.36,,,,
AL,2015,3,285.93,,,,
AL,2015,4,287.95,,,,
AL,2016,1,288.53,,,,
AL,2016,2,292.63,,,,
AL,2016,3,297.3,,,,
AL,2016,4,296.58,,,,
AL,2017,1,298.19,,,,
AL,2017,2,301.69,,,,
AL,2017,3,304.59,,,,
AL,2017,4,306.62,,,,
AL,2018,1,310.13,,,,
AL,2018,2,314.65,,,,
AL,2018,3,317.67,,,,
AL,2018,4,318.33,,,,
AL,2019,1,324.41,,,,
AL,2019,2,328.73,,,,
AL,2019,3,333.39,,,,
AL,2019,4,337.52,,,,
AL,2020,1,341.24,,,,
AL,2020,2,346.06,,,,
AL,2020,3,353.05,,,,
AL,2020,4,360.2,,,,
AL,2021,1,367.38,,,,
AL,2021,2,384.84,,,,
AL,2021,3,406.2,,,,
AL,2021,4,421.78,,,,
AK,1975,1,62.32,,,,
AK,1975,2,64.53,,,,
AK,1975,3,67.66,,,,
AK,1975,4,68.48,,,,
AK,1976,1,71.57,,,,
AK,1976,2,71.85,,,,
AK,1976,3,74.48,,,,
AK,1976,4,74.24,,,,
AK,1977,1,78.83,,,,
AK,1977,2,77.47,,,,
AK,1977,3,79.1,,,,
AK,1977,4,79.32,,,,
AK,1978,1,79.32,,,,
AK,1978,2,86.35,,,,
AK,1978,3,88.23,,,,
AK,1978,4,86.85,,,,
AK,1979,1,89.38,,,,
AK,1979,2,99.86,,,,
AK,1979,3,96.74,,,,
AK,1979,4,97.33,,,,
AK,1980,1,100,,,,
AK,1980,2,83.1,,,,
AK,1980,3,73.73,,,,
AK,1980,4,95.04,,,,
AK,1981,1,89.53,,,,
AK,1981,2,108.81,,,,
AK,1981,3,116.63,,,,
AK,1981,4,129.42,,,,
AK,1982,1,136.82,,,,
AK,1982,2,131.74,,,,
AK,1982,3,141.16,,,,
AK,1982,4,137.24,,,,
AK,1983,1,139.18,,,,
AK,1983,2,140.5,,,,
AK,1983,3,146.8,,,,
AK,1983,4,146.38,,,,
AK,1984,1,150.34,,,,
AK,1984,2,148.06,,,,
AK,1984,3,154.78,,,,
AK,1984,4,152.92,,,,
AK,1985,1,144.99,,,,
AK,1985,2,145.57,,,,
AK,1985,3,146.08,,,,
AK,1985,4,142.11,,,,
AK,1986,1,142.96,,,,
AK,1986,2,145.35,,,,
AK,1986,3,140.81,,,,
AK,1986,4,137.46,,,,
AK,1987,1,134.01,,,,
AK,1987,2,124.55,,,,
AK,1987,3,116.3,,,,
AK,1987,4,105.27,,,,
AK,1988,1,121.09,,,,
AK,1988,2,115.51,,,,
AK,1988,3,126.79,,,,
AK,1988,4,132.4,,,,
AK,1989,1,128.94,,,,
AK,1989,2,104.57,,,,
AK,1989,3,104.33,,,,
AK,1989,4,102.32,,,,
AK,1990,1,98.97,,,,
AK,1990,2,112.78,,,,
AK,1990,3,122.26,,,,
AK,1990,4,120.26,,,,
AK,1991,1,124.56,,,,
AK,1991,2,127.6,,,,
AK,1991,3,131.54,,,,
AK,1991,4,131.66,,,,
AK,1992,1,133.49,,,,
AK,1992,2,134.71,,,,
AK,1992,3,135.41,,,,
AK,1992,4,135.93,,,,
AK,1993,1,135.77,,,,
AK,1993,2,136.3,,,,
AK,1993,3,138.78,,,,
AK,1993,4,139.54,,,,
AK,1994,1,140.7,,,,
AK,1994,2,143.88,,,,
AK,1994,3,145.85,,,,
AK,1994,4,144.85,,,,
AK,1995,1,147.11,,,,
AK,1995,2,149.62,,,,
AK,1995,3,151.14,,,,
AK,1995,4,151.62,,,,
AK,1996,1,154.03,,,,
AK,1996,2,156.51,,,,
AK,1996,3,157.01,,,,
AK,1996,4,159.03,,,,
AK,1997,1,158.89,,,,
AK,1997,2,160.16,,,,
AK,1997,3,161.41,,,,
AK,1997,4,163.55,,,,
AK,1998,1,163.28,,,,
AK,1998,2,166.03,,,,
AK,1998,3,167.55,,,,
AK,1998,4,167.3,,,,
AK,1999,1,169.24,,,,
AK,1999,2,172.9,,,,
AK,1999,3,172.53,,,,
AK,1999,4,172.63,,,,
AK,2000,1,172.42,,,,
AK,2000,2,174.58,,,,
AK,2000,3,175.72,,,,
AK,2000,4,176.17,,,,
AK,2001,1,179.31,,,,
AK,2001,2,183.07,,,,
AK,2001,3,185.68,,,,
AK,2001,4,185.97,,,,
AK,2002,1,188.89,,,,
AK,2002,2,194.32,,,,
AK,2002,3,195.61,,,,
AK,2002,4,195.14,,,,
AK,2003,1,196.43,,,,
AK,2003,2,199.56,,,,
AK,2003,3,204.09,,,,
AK,2003,4,212.11,,,,
AK,2004,1,213.39,,,,
AK,2004,2,218.53,,,,
AK,2004,3,229.83,,,,
AK,2004,4,232.19,,,,
AK,2005,1,238.06,,,,
AK,2005,2,246.93,,,,
AK,2005,3,255.85,,,,
AK,2005,4,263.56,,,,
AK,2006,1,267.86,,,,
AK,2006,2,274.36,,,,
AK,2006,3,279.6,,,,
AK,2006,4,281.16,,,,
AK,2007,1,285.12,,,,
AK,2007,2,287.97,,,,
AK,2007,3,286.9,,,,
AK,2007,4,286.32,,,,
AK,2008,1,286.19,,,,
AK,2008,2,286.63,,,,
AK,2008,3,282.94,,,,
AK,2008,4,285.68,,,,
AK,2009,1,286.28,,,,
AK,2009,2,283.46,,,,
AK,2009,3,282.24,,,,
AK,2009,4,283.82,,,,
AK,2010,1,279.47,,,,
AK,2010,2,281.93,,,,
AK,2010,3,283.61,,,,
AK,2010,4,284.3,,,,
AK,2011,1,284.18,,,,
AK,2011,2,283.52,,,,
AK,2011,3,284.42,,,,
AK,2011,4,286.41,,,,
AK,2012,1,284.39,,,,
AK,2012,2,283.71,,,,
AK,2012,3,286.71,,,,
AK,2012,4,288.9,,,,
AK,2013,1,292.32,,,,
AK,2013,2,292.86,,,,
AK,2013,3,296.03,,,,
AK,2013,4,297.25,,,,
AK,2014,1,294.52,,,,
AK,2014,2,300.52,,,,
AK,2014,3,304.32,,,,
AK,2014,4,303.46,,,,
AK,2015,1,306.29,,,,
AK,2015,2,309.21,,,,
AK,2015,3,312.99,,,,
AK,2015,4,314.14,,,,
AK,2016,1,314.56,,,,
AK,2016,2,316.87,,,,
AK,2016,3,318.39,,,,
AK,2016,4,316.78,,,,
AK,2017,1,318.51,,,,
AK,2017,2,319.06,,,,
AK,2017,3,322.66,,,,
AK,2017,4,323.27,,,,
AK,2018,1,321.68,,,,
AK,2018,2,324.81,,,,
AK,2018,3,324.66,,,,
AK,2018,4,324.6,,,,
AK,2019,1,327.52,,,,
AK,2019,2,331.69,,,,
AK,2019,3,334,,,,
AK,2019,4,334.12,,,,
AK,2020,1,337.48,,,,
AK,2020,2,340.51,,,,
AK,2020,3,344.81,,,,
AK,2020,4,348.46,,,,
AK,2021,1,351.34,,,,
AK,2021,2,364.22,,,,
AK,2021,3,381.51,,,,
AK,2021,4,386.83,,,,
AZ,1975,1,60.77,,,,
AZ,1975,2,60.11,,,,
AZ,1975,3,59.53,,,,
AZ,1975,4,56.48,,,,
AZ,1976,1,59.16,,,,
AZ,1976,2,62.83,,,,
AZ,1976,3,61.03,,,,
AZ,1976,4,61.22,,,,
AZ,1977,1,63.64,,,,
AZ,1977,2,64.01,,,,
AZ,1977,3,66.18,,,,
AZ,1977,4,70.13,,,,
AZ,1978,1,71.3,,,,
AZ,1978,2,74.08,,,,
AZ,1978,3,78.99,,,,
AZ,1978,4,83.14,,,,
AZ,1979,1,87.49,,,,
AZ,1979,2,92.61,,,,
AZ,1979,3,95.57,,,,
AZ,1979,4,99.13,,,,
AZ,1980,1,100,,,,
AZ,1980,2,98.75,,,,
AZ,1980,3,107.28,,,,
AZ,1980,4,107.85,,,,
AZ,1981,1,108.69,,,,
AZ,1981,2,112.15,,,,
AZ,1981,3,116.72,,,,
AZ,1981,4,109.9,,,,
AZ,1982,1,105.51,,,,
AZ,1982,2,109.36,,,,
AZ,1982,3,101.6,,,,
AZ,1982,4,108.81,,,,
AZ,1983,1,119.06,,,,
AZ,1983,2,119.25,,,,
AZ,1983,3,115.51,,,,
AZ,1983,4,113.16,,,,
AZ,1984,1,117.67,,,,
AZ,1984,2,121.86,,,,
AZ,1984,3,123.02,,,,
AZ,1984,4,122.6,,,,
AZ,1985,1,125.22,,,,
AZ,1985,2,125.71,,,,
AZ,1985,3,127.39,,,,
AZ,1985,4,128.98,,,,
AZ,1986,1,131.59,,,,
AZ,1986,2,135.53,,,,
AZ,1986,3,135.53,,,,
AZ,1986,4,133.13,,,,
AZ,1987,1,137.91,,,,
AZ,1987,2,136.79,,,,
AZ,1987,3,135.85,,,,
AZ,1987,4,133.63,,,,
AZ,1988,1,134.91,,,,
AZ,1988,2,136.24,,,,
AZ,1988,3,134.28,,,,
AZ,1988,4,134.51,,,,
AZ,1989,1,133.29,,,,
AZ,1989,2,132.78,,,,
AZ,1989,3,134.88,,,,
AZ,1989,4,134.1,,,,
AZ,1990,1,133.92,,,,
AZ,1990,2,133.03,,,,
AZ,1990,3,134.23,,,,
AZ,1990,4,132.88,,,,
AZ,1991,1,134.93,,,,
AZ,1991,2,135.91,,,,
AZ,1991,3,135.35,,,,
AZ,1991,4,139.31,,,,
AZ,1992,1,140,,,,
AZ,1992,2,139.7,,,,
AZ,1992,3,140.65,,,,
AZ,1992,4,141.49,,,,
AZ,1993,1,141.61,,,,
AZ,1993,2,143.33,,,,
AZ,1993,3,144.49,,,,
AZ,1993,4,146.39,,,,
AZ,1994,1,148.41,,,,
AZ,1994,2,150.53,,,,
AZ,1994,3,152.48,,,,
AZ,1994,4,154.13,,,,
AZ,1995,1,156.1,,,,
AZ,1995,2,158.95,,,,
AZ,1995,3,162.01,,,,
AZ,1995,4,164.1,,,,
AZ,1996,1,166.66,,,,
AZ,1996,2,167,,,,
AZ,1996,3,168.57,,,,
AZ,1996,4,169.97,,,,
AZ,1997,1,171.86,,,,
AZ,1997,2,172.71,,,,
AZ,1997,3,175.74,,,,
AZ,1997,4,178.43,,,,
AZ,1998,1,180.93,,,,
AZ,1998,2,182.46,,,,
AZ,1998,3,184.9,,,,
AZ,1998,4,187.07,,,,
AZ,1999,1,188.94,,,,
AZ,1999,2,191.37,,,,
AZ,1999,3,194,,,,
AZ,1999,4,195.86,,,,
AZ,2000,1,200.31,,,,
AZ,2000,2,202.52,,,,
AZ,2000,3,205.25,,,,
AZ,2000,4,208.34,,,,
AZ,2001,1,213.01,,,,
AZ,2001,2,216.29,,,,
AZ,2001,3,219.41,,,,
AZ,2001,4,221.54,,,,
AZ,2002,1,224.55,,,,
AZ,2002,2,227.54,,,,
AZ,2002,3,231.42,,,,
AZ,2002,4,234.09,,,,
AZ,2003,1,236.87,,,,
AZ,2003,2,239.33,,,,
AZ,2003,3,243.05,,,,
AZ,2003,4,251.24,,,,
AZ,2004,1,255.61,,,,
AZ,2004,2,264.71,,,,
AZ,2004,3,280.21,,,,
AZ,2004,4,291.69,,,,
AZ,2005,1,309.4,,,,
AZ,2005,2,341.29,,,,
AZ,2005,3,370.31,,,,
AZ,2005,4,396.04,,,,
AZ,2006,1,410.77,,,,
AZ,2006,2,419.51,,,,
AZ,2006,3,423.13,,,,
AZ,2006,4,426.78,,,,
AZ,2007,1,425.04,,,,
AZ,2007,2,421.29,,,,
AZ,2007,3,412.02,,,,
AZ,2007,4,404.99,,,,
AZ,2008,1,391.65,,,,
AZ,2008,2,369.04,,,,
AZ,2008,3,342.01,,,,
AZ,2008,4,329.97,,,,
AZ,2009,1,328.95,,,,
AZ,2009,2,305.41,,,,
AZ,2009,3,289.72,,,,
AZ,2009,4,281.09,,,,
AZ,2010,1,273.15,,,,
AZ,2010,2,263.62,,,,
AZ,2010,3,263.18,,,,
AZ,2010,4,256.65,,,,
AZ,2011,1,242.25,,,,
AZ,2011,2,230.34,,,,
AZ,2011,3,232.28,,,,
AZ,2011,4,237.55,,,,
AZ,2012,1,236.42,,,,
AZ,2012,2,239.28,,,,
AZ,2012,3,249.07,,,,
AZ,2012,4,256.59,,,,
AZ,2013,1,262.9,,,,
AZ,2013,2,274.77,,,,
AZ,2013,3,283.01,,,,
AZ,2013,4,290.91,,,,
AZ,2014,1,296.4,,,,
AZ,2014,2,301.72,,,,
AZ,2014,3,304.86,,,,
AZ,2014,4,309.87,,,,
AZ,2015,1,312.38,,,,
AZ,2015,2,319.2,,,,
AZ,2015,3,325.76,,,,
AZ,2015,4,330.23,,,,
AZ,2016,1,334.01,,,,
AZ,2016,2,341.05,,,,
AZ,2016,3,346.85,,,,
AZ,2016,4,352.35,,,,
AZ,2017,1,357.46,,,,
AZ,2017,2,366.85,,,,
AZ,2017,3,374.65,,,,
AZ,2017,4,378.78,,,,
AZ,2018,1,386.78,,,,
AZ,2018,2,394.94,,,,
AZ,2018,3,404.04,,,,
AZ,2018,4,408.6,,,,
AZ,2019,1,413.97,,,,
AZ,2019,2,422.05,,,,
AZ,2019,3,428.39,,,,
AZ,2019,4,435.68,,,,
AZ,2020,1,444.36,,,,
AZ,2020,2,452.21,,,,
AZ,2020,3,463.3,,,,
AZ,2020,4,479.67,,,,
AZ,2021,1,500.63,,,,
AZ,2021,2,539.69,,,,
AZ,2021,3,585.08,,,,
AZ,2021,4,613.94,,,,
AR,1975,1,66.73,,,,
AR,1975,2,60.48,,,,
AR,1975,3,65.12,,,,
AR,1975,4,62.6,,,,
AR,1976,1,66.82,,,,
AR,1976,2,68.65,,,,
AR,1976,3,71.55,,,,
AR,1976,4,72.28,,,,
AR,1977,1,73.19,,,,
AR,1977,2,75.17,,,,
AR,1977,3,78.38,,,,
AR,1977,4,81.13,,,,
AR,1978,1,81.15,,,,
AR,1978,2,83.53,,,,
AR,1978,3,86.26,,,,
AR,1978,4,86.37,,,,
AR,1979,1,91.99,,,,
AR,1979,2,94.87,,,,
AR,1979,3,99.52,,,,
AR,1979,4,101.43,,,,
AR,1980,1,100,,,,
AR,1980,2,101.14,,,,
AR,1980,3,106.94,,,,
AR,1980,4,109.16,,,,
AR,1981,1,109.91,,,,
AR,1981,2,106.59,,,,
AR,1981,3,109.2,,,,
AR,1981,4,103.07,,,,
AR,1982,1,103.15,,,,
AR,1982,2,106.21,,,,
AR,1982,3,110.95,,,,
AR,1982,4,108.61,,,,
AR,1983,1,113.31,,,,
AR,1983,2,116.51,,,,
AR,1983,3,118.36,,,,
AR,1983,4,118.36,,,,
AR,1984,1,120.67,,,,
AR,1984,2,118.88,,,,
AR,1984,3,119.65,,,,
AR,1984,4,121.13,,,,
AR,1985,1,121.26,,,,
AR,1985,2,119.98,,,,
AR,1985,3,124.14,,,,
AR,1985,4,124.39,,,,
AR,1986,1,125.7,,,,
AR,1986,2,128.74,,,,
AR,1986,3,126.71,,,,
AR,1986,4,128.21,,,,
AR,1987,1,129.25,,,,
AR,1987,2,130.85,,,,
AR,1987,3,127.71,,,,
AR,1987,4,124.12,,,,
AR,1988,1,126.58,,,,
AR,1988,2,127.54,,,,
AR,1988,3,126.78,,,,
AR,1988,4,126.28,,,,
AR,1989,1,127.27,,,,
AR,1989,2,126.9,,,,
AR,1989,3,128.12,,,,
AR,1989,4,127.17,,,,
AR,1990,1,127.86,,,,
AR,1990,2,128.06,,,,
AR,1990,3,128.8,,,,
AR,1990,4,128.3,,,,
AR,1991,1,129.58,,,,
AR,1991,2,130.25,,,,
AR,1991,3,131.45,,,,
AR,1991,4,133.7,,,,
AR,1992,1,134.78,,,,
AR,1992,2,134.13,,,,
AR,1992,3,136.49,,,,
AR,1992,4,137.14,,,,
AR,1993,1,138.33,,,,
AR,1993,2,140.6,,,,
AR,1993,3,143.16,,,,
AR,1993,4,144.9,,,,
AR,1994,1,147.7,,,,
AR,1994,2,148.96,,,,
AR,1994,3,150.81,,,,
AR,1994,4,151.85,,,,
AR,1995,1,152.63,,,,
AR,1995,2,156.81,,,,
AR,1995,3,158.78,,,,
AR,1995,4,159.54,,,,
AR,1996,1,161.87,,,,
AR,1996,2,162.19,,,,
AR,1996,3,161.96,,,,
AR,1996,4,163.66,,,,
AR,1997,1,165.17,,,,
AR,1997,2,166.69,,,,
AR,1997,3,167.6,,,,
AR,1997,4,169.84,,,,
AR,1998,1,171.66,,,,
AR,1998,2,171.6,,,,
AR,1998,3,174.41,,,,
AR,1998,4,176.35,,,,
AR,1999,1,177.13,,,,
AR,1999,2,177.33,,,,
AR,1999,3,178.01,,,,
AR,1999,4,178.65,,,,
AR,2000,1,179.54,,,,
AR,2000,2,181.27,,,,
AR,2000,3,182.31,,,,
AR,2000,4,184.78,,,,
AR,2001,1,189.39,,,,
AR,2001,2,190.52,,,,
AR,2001,3,192.49,,,,
AR,2001,4,194.42,,,,
AR,2002,1,195.16,,,,
AR,2002,2,196.04,,,,
AR,2002,3,199.23,,,,
AR,2002,4,201.69,,,,
AR,2003,1,203.22,,,,
AR,2003,2,204.53,,,,
AR,2003,3,207.01,,,,
AR,2003,4,210.1,,,,
AR,2004,1,212.76,,,,
AR,2004,2,216.28,,,,
AR,2004,3,219.88,,,,
AR,2004,4,223.7,,,,
AR,2005,1,226.88,,,,
AR,2005,2,232.11,,,,
AR,2005,3,237.26,,,,
AR,2005,4,240.45,,,,
AR,2006,1,244.05,,,,
AR,2006,2,247.36,,,,
AR,2006,3,250.07,,,,
AR,2006,4,252.23,,,,
AR,2007,1,254.57,,,,
AR,2007,2,256.08,,,,
AR,2007,3,255.72,,,,
AR,2007,4,256.94,,,,
AR,2008,1,256.7,,,,
AR,2008,2,255.9,,,,
AR,2008,3,252.9,,,,
AR,2008,4,254.21,,,,
AR,2009,1,256.38,,,,
AR,2009,2,253.22,,,,
AR,2009,3,249.13,,,,
AR,2009,4,248.05,,,,
AR,2010,1,244.74,,,,
AR,2010,2,245.5,,,,
AR,2010,3,246.36,,,,
AR,2010,4,245.25,,,,
AR,2011,1,241.33,,,,
AR,2011,2,239.64,,,,
AR,2011,3,241.75,,,,
AR,2011,4,242.95,,,,
AR,2012,1,242.44,,,,
AR,2012,2,239.98,,,,
AR,2012,3,243.3,,,,
AR,2012,4,244.82,,,,
AR,2013,1,245.66,,,,
AR,2013,2,245.94,,,,
AR,2013,3,246.64,,,,
AR,2013,4,246.25,,,,
AR,2014,1,247.63,,,,
AR,2014,2,247.69,,,,
AR,2014,3,249.68,,,,
AR,2014,4,252.62,,,,
AR,2015,1,252.71,,,,
AR,2015,2,253.48,,,,
AR,2015,3,257.27,,,,
AR,2015,4,259.19,,,,
AR,2016,1,257.68,,,,
AR,2016,2,261.54,,,,
AR,2016,3,264.3,,,,
AR,2016,4,265.81,,,,
AR,2017,1,268.79,,,,
AR,2017,2,270.19,,,,
AR,2017,3,273.33,,,,
AR,2017,4,275.38,,,,
AR,2018,1,278.2,,,,
AR,2018,2,280.61,,,,
AR,2018,3,282.9,,,,
AR,2018,4,285.23,,,,
AR,2019,1,287.34,,,,
AR,2019,2,290.99,,,,
AR,2019,3,294.23,,,,
AR,2019,4,297,,,,
AR,2020,1,298.54,,,,
AR,2020,2,301.24,,,,
AR,2020,3,305.69,,,,
AR,2020,4,313.05,,,,
AR,2021,1,318.59,,,,
AR,2021,2,334.56,,,,
AR,2021,3,352.56,,,,
AR,2021,4,368.26,,,,
CA,1975,1,41.68,,,,
